,Type,Well-behavedness,Formula,System,Translation,Hypothesis,CorrectAnswer
0,GGC,WB,"∀ w ( ( Dodec ( w ) ∧ ¬ ∃ x RightOf ( x , w ) ) → ∃ y LeftOf ( y , w ) )",RantaII,"For all dodecahedrons w, something is to the right of w or something is to the left of w.",H,Y/N
1,GGC,WB,"¬ ∃ x ∃ y ( LeftOf ( x , a ) ∧ LeftOf ( y , b ) ∧ Smaller ( x , y ) )",RantaII,"For all x, for all y, x is not to the left of a, y is not to the left of b or x is not smaller than y.",H,Y/N
2,GGC,WB,"∃ x ( Large ( x ) ∧ Cube ( x ) ∧ ∀ y ( ( Cube ( y ) ∧ Small ( y ) ) → FrontOf ( x , y ) ) )",RantaII,"There is an element x such that x is large, x is a cube and x is in front of every small cube.",H,Y/N
3,GGC,NWB,"∀ x ∃ y ( Dodec ( x ) → ( ∃ y ( Cube ( y ) ∧ LeftOf ( x , y ) ) → Large ( x ) ) )",RantaII,"For all dodecahedrons x, if x is to the left of some cube, then x is large.",H,Y/N
4,GGC,WB,∀ x ( Dodec ( x ) → ¬ ( Dodec ( x ) ∧ Small ( x ) ) ),RantaII,"For all dodecahedrons x, x is not small.",H,Y/N
5,GGC,WB,∃ x ∃ y ( Cube ( x ) ∧ Tet ( y ) ) ∧ ∀ z ( Cube ( z ) ∨ Tet ( z ) ),RantaII,"There is an element y such that there is a cube x such that y is a tetrahedron and for all z, z is a cube or z is a tetrahedron.",H,Y/N
6,GGC,WB,"∀ y ( Dodec ( y ) → ¬ ∃ x BackOf ( x , y ) )",RantaII,Nothing is in back of every dodecahedron.,H,Y/N
7,GGC,WB,"∃ w ( Large ( w ) ∧ Cube ( w ) ∧ RightOf ( b , w ) )",Baseline,There is an element w such that w is large and w is a cube and b is to the right of w.,H,Y/N
8,GGC,WB,"Small ( c ) → ( RightOf ( c , a ) ∧ Small ( c ) )",Baseline,"If c is small, then c is to the right of a and c is small.",H,Y/N
9,GGC,WB,"∃ x ∃ y ( Cube ( x ) ∧ Cube ( y ) ∧ Large ( x ) ∧ Small ( y ) ∧ FrontOf ( x , y ) )",Baseline,There is an element x such that there is an element y such that x is a cube and y is a cube and x is large and y is small and x is in front of y.,H,Y/N
10,GGC,NWB,"∃ x ( Larger ( a , x ) ∧ Cube ( x ) ) → ¬ ∃ y ( Tet ( y ) ∧ ¬ Smaller ( a , y ) )",Baseline,"If there is an element x such that a is larger than x and x is a cube, then it is not the case that there is an element y such that y is a tetrahedron and it is not the case that a is smaller than y.",H,Y/N
11,GGC,NWB,"¬ ( Larger ( b , a ) → ¬ Larger ( b , e ) )",Baseline,"It is not the case that if b is larger than a, then it is not the case that b is larger than e.",H,Y/N
12,GGC,WB,"BackOf ( f , a ) ∨ ( ¬ BackOf ( f , a ) ∧ Smaller ( f , a ) )",Baseline,F is in back of a or it is not the case that f is in back of a and f is smaller than a.,H,Y/N
13,GGC,WB,"∃ z ( Large ( z ) ∧ Cube ( z ) ∧ BackOf ( z , c ) ∧ LeftOf ( z , b ) )",Baseline,There is an element z such that z is large and z is a cube and z is in back of c and z is to the left of b.,H,Y/N
14,GGC,NWB,∀ x ¬ ∃ x Cube ( x ),RantaI,"For all x, it is not the case that there is an element x such that x is a cube.",H,Y/N
15,GGC,WB,"∀ x ( RightOf ( a , x ) → ¬ Cube ( x ) )",RantaI,"For all x, if a is to the right of x, then x is not a cube.",H,Y/N
16,GGC,WB,"∀ z ∃ u ( ( Dodec ( z ) ∧ ¬ RightOf ( u , z ) ) → Small ( z ) )",RantaI,"For all z, there is an element u such that if z is a dodecahedron and u is not to the right of z, then z is small.",H,Y/N
17,GGC,WB,"¬ ∀ y ∀ x ( ( Tet ( x ) ∧ Tet ( y ) ) → SameCol ( x , y ) )",RantaI,"It is not the case that for all y, for all x, if x is a tetrahedron and y is a tetrahedron, then x is in the same column as y.",H,Y/N
18,GGC,WB,"Smaller ( b , d ) ∧ Smaller ( b , e ) ∧ FrontOf ( b , d ) ∧ FrontOf ( b , e )",RantaI,"B is smaller than d, smaller than e, in front of d and in front of e.",H,Y/N
