,Type,Well-behavedness,Formula,System,Translation,Hypothesis,CorrectAnswer
0,GGC,WB,Cube ( e ) ∨ Cube ( a ) ∨ Cube ( c ),RantaI,"E is a cube, a is a cube or c is a cube.",H,Y/N
1,GGC,WB,"∀ v ∀ w ( ( Tet ( v ) ∧ Dodec ( w ) ) → FrontOf ( v , w ) )",RantaI,"For all v, for all w, if v is a tetrahedron and w is a dodecahedron, then v is in front of w.",H,Y/N
2,GGC,WB,Medium ( c ) → ( ¬ ( Cube ( d ) ∨ Cube ( e ) ) ∧ ¬ Cube ( f ) ),RantaI,"If c is medium, then it is not the case that d is a cube or e is a cube and f is not a cube.",H,Y/N
3,GGC,WB,"¬ ∃ x ∃ y ( Cube ( x ) ∧ Dodec ( y ) ∧ Larger ( x , y ) )",RantaI,"It is not the case that there is an element x such that there is an element y such that x is a cube, y is a dodecahedron and x is larger than y.",H,Y/N
4,GGC,WB,"∀ u ( ( Cube ( u ) ∧ ∃ y BackOf ( y , u ) ) → Small ( u ) )",RantaI,"For all u, if u is a cube and there is an element y such that y is in back of u, then u is small.",H,Y/N
5,GGC,NWB,"∀ w ( LeftOf ( w , a ) → ¬ ∀ z ( LeftOf ( z , b ) → Larger ( w , z ) ) )",RantaI,"For all w, if w is to the left of a, then it is not the case that for all z, if z is to the left of b, then w is larger than z.",H,Y/N
6,GGC,WB,"∀ y ∃ z ( Dodec ( y ) → ( Cube ( z ) ∧ SameSize ( y , z ) ) )",RantaI,"For all y, there is an element z such that if y is a dodecahedron, then z is a cube and y is of the same size as z.",H,Y/N
7,GGC,NWB,"∀ x ∀ y ( ( LeftOf ( x , a ) → LeftOf ( x , b ) ) ∧ ( LeftOf ( x , b ) → LeftOf ( x , a ) ) )",RantaII,"For all x, if x is to the left of b, then x is to the left of a and for all x, if x is to the left of a, then x is to the left of b.",H,Y/N
8,GGC,WB,"∃ x ( LeftOf ( e , x ) → ¬ Dodec ( x ) )",RantaII,It is not the case that everything is a dodecahedron and e is to the left of everything.,H,Y/N
9,GGC,WB,"∀ x ( ¬ Adjoins ( a , c ) ∧ ¬ Adjoins ( a , b ) ∧ ¬ Adjoins ( a , x ) ∧ ¬ Adjoins ( a , a ) )",RantaII,"For all x, a is not adjacent to c, a is not adjacent to b, a is not adjacent to x and a is not adjacent to itself.",H,Y/N
10,GGC,NWB,"∀ x ∀ y ( Tet ( y ) → ( Cube ( x ) → LeftOf ( x , y ) ) )",RantaII,Every cube is to the left of every tetrahedron.,H,Y/N
11,GGC,NWB,"∀ y ( Cube ( y ) → ∀ x ( Tet ( x ) → LeftOf ( y , x ) ) )",RantaII,Every cube is to the left of every tetrahedron.,H,Y/N
12,GGC,WB,¬ Tet ( b ) ∨ Tet ( c ),RantaII,B is not a tetrahedron or c is a tetrahedron.,H,Y/N
13,GGC,NWB,"∀ x ∀ y ( Dodec ( x ) → ( Cube ( y ) → ( Larger ( x , y ) ∨ SameSize ( y , x ) ) ) )",RantaII,"For all dodecahedrons x, for all cubes y, x is larger than y or y is of the same size as x.",H,Y/N
14,GGC,WB,"( RightOf ( d , a ) ∨ LeftOf ( d , a ) ) → Cube ( a )",Baseline,"If d is to the right of a or d is to the left of a, then a is a cube.",H,Y/N
15,GGC,WB,"RightOf ( f , a ) ∧ LeftOf ( f , b )",Baseline,F is to the right of a and f is to the left of b.,H,Y/N
